time,temperature_forecast,forecast_method,confidence,forecast_time
2026-02-19 09:00:00,11.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 10:00:00,11.8,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 11:00:00,12.0,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 12:00:00,11.2,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 13:00:00,10.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 14:00:00,10.2,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 15:00:00,10.0,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 16:00:00,10.0,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 17:00:00,9.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 18:00:00,10.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 19:00:00,10.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 20:00:00,10.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 21:00:00,10.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 22:00:00,10.2,NWP,high,2026-02-16 17:46:30.875101
2026-02-19 23:00:00,10.1,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 00:00:00,9.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 01:00:00,9.6,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 02:00:00,9.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 03:00:00,8.8,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 04:00:00,7.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 05:00:00,6.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 06:00:00,6.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 07:00:00,7.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 08:00:00,9.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 09:00:00,11.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 10:00:00,13.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 11:00:00,14.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 12:00:00,15.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 13:00:00,15.8,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 14:00:00,15.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 15:00:00,14.6,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 16:00:00,12.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 17:00:00,10.2,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 18:00:00,8.2,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 19:00:00,7.2,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 20:00:00,6.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 21:00:00,6.1,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 22:00:00,5.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-20 23:00:00,4.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 00:00:00,3.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 01:00:00,4.1,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 02:00:00,4.6,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 03:00:00,4.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 04:00:00,4.5,NWP,high,2026-02-16 17:46:30.875101
